symbol,name,natural_analog,smiles,monomer_type,n_rgroups,source,alt_symbols
Me_dN,N-methyl D-Asparagine,N,*C(=O)[C@@H](CC(N)=O)N(*)C,Backbone,2,CREMP(generated(invert+methylate)),
Me_dQ,N-methyl D-Glutamine,Q,*C(=O)[C@@H](CCC(N)=O)N(*)C,Backbone,2,CREMP(generated(invert+methylate)),
Me_dS,N-methyl D-Serine,S,*C(=O)[C@@H](CO)N(*)C,Backbone,2,CREMP(generated(invert+methylate)),
2-Pal,3-(2-Pyridyl)-alanine,X,[*]N[C@@H](Cc1ccccn1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone,2,ChEMBL,
A_COEt,Alanine ethylcarboxyl,A,CCOC(=O)C(=O)[C@H](C)N[*] |$;;;;;;;;;;_R1$|,Backbone,1,ChEMBL,
A_MeCl,Alanine chloromethyl,A,C[C@H](N[*])C(=O)CCl |$;;;_R1;;;;$|,Backbone,1,ChEMBL,
A_OBzl,L-Alanine benzyl ester,A,C[C@H](N[*])C(=O)OCc1ccccc1 |$;;;_R1;;;;;;;;;;$|,Backbone,1,ChEMBL,
A_OMe,L-Alanine methyl ester,A,COC(=O)[C@H](C)N[*] |$;;;;;;;_R1$|,Backbone,1,ChEMBL,
Aad,2-aminoadipic acid,A,[*]N[C@@H](CCCC([*])=O)C([*])=O |$_R1;;;;;;;_R3;;;_R2;$|,Backbone,3,ChEMBL,
Abu_COEt,2-aminobutanoic acid ethylcarboxyl,X,CCOC(=O)C(=O)[C@H](CC)N[*] |$;;;;;;;;;;;_R1$|,Backbone,1,ChEMBL,
Aca,2-aminocapric acid,X,CCCCCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone,2,ChEMBL,
Aib_OMe,alpha-aminoisobutyric acid (2-aminoalanine) methyl ester,X,COC(=O)C(C)(C)N[*] |$;;;;;;;;_R1$|,Backbone,1,ChEMBL,
Apm,2-aminopimelic acid,A,[*]N[C@@H](CCCCC([*])=O)C([*])=O |$_R1;;;;;;;;_R3;;;_R2;$|,Backbone,3,ChEMBL,
Asp(OtBu),L-Aspartic acid beta-t.-butyl ester,D,CC(C)(C)OC(=O)C[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone,2,ChEMBL,
Asu,2-aminosuberic acid,A,[*]N[C@@H](CCCCCC([*])=O)C([*])=O |$_R1;;;;;;;;;_R3;;;_R2;$|,Backbone,3,ChEMBL,
Boc_A,N-alpha-t.-Boc-L-alanine,A,C[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_Aib,N-alpha-t.-Boc-alpha-aminoisobutyric acid,X,CC(C)(C)OC(=O)NC(C)(C)C([*])=O |$;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_C,N-alpha-t.-Boc-L-cysteine,C,CC(C)(C)OC(=O)N[C@@H](CS)C([*])=O |$;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_D,N-alpha-t.-Boc-L-aspartic acid,D,CC(C)(C)OC(=O)N[C@@H](CC(O)=O)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_E,N-alpha-t.-Boc-L-glutamic acid,E,CC(C)(C)OC(=O)N[C@@H](CCC(O)=O)C([*])=O |$;;;;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_F,N-alpha-t.-Boc-L-phenylalanine,F,CC(C)(C)OC(=O)N([*])[C@@H](Cc1ccccc1)C([*])=O |$;;;;;;;;_R1;;;;;;;;;;_R2;$|,Backbone,2,ChEMBL,
Boc_G,N-alpha-t.-Boc-glycine,G,CC(C)(C)OC(=O)NCC([*])=O |$;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_Glu(OBzl),N-alpha-t.-Boc-L-glutamic acid gamma-benzyl ester,E,CC(C)(C)OC(=O)N[C@@H](CCC(=O)OCc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_Glu(OtBu),N-alpha-t.-Boc-L-glutamic acid gamma-t.-butyl ester,E,CC(C)(C)OC(=O)CC[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_I,N-alpha-t.-Boc-L-isoleucine,I,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_K,N-alpha-t.-Boc-L-lysine,K,CC(C)(C)OC(=O)N[C@@H](CCCCN)C([*])=O |$;;;;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_L,N-alpha-t.-Boc-L-leucine,L,CC(C)C[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_L-alpha-t-butylglycine,N-alpha-t.-Boc-L-alpha-t.-butyl-glycine,V,CC(C)(C)OC(=O)N[C@H](C([*])=O)C(C)(C)C |$;;;;;;;;;;_R2;;;;;$|,Backbone,1,ChEMBL,
Boc_M,N-alpha-t.-Boc-L-methionine,M,CSCC[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_P,N-alpha-t.-Boc-L-proline,P,CC(C)(C)OC(=O)N1CCC[C@H]1C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
Boc_S,N-alpha-t.-Boc-L-serine,S,CC(C)(C)OC(=O)N[C@@H](CO)C([*])=O |$;;;;;;;;;;;;_R2;$|,Backbone,1,ChEMBL,
